Time,Ticker,latestPrice,latestVolume,Close,Open,low,high
13:30,ACHV,3.357,205808,3.15,3.14,3.09,3.43
13:30,ACHN,2.955,313185,2.91,2.91,2.9,2.99
13:30,ACIW,32.455,284827,32.76,32.91,32.18,33.74
13:30,ACRS,6.3,165105,5.98,5.98,5.98,6.29
13:30,ACMR,15.05,29791,15.08,15.08,14.6,15.23
13:30,ACNB,35.975,9064,35.8,36.12,35.705,36.194
13:30,ACOR,13.08,204149,13.04,13.07,12.87,13.16
13:30,ATVI,45.15,4759947,45.52,45.34,44.87,45.71
13:30,ADMS,7.305,183424,7.2,7.21,7.17,7.34
13:30,ADMP,2.15,370937,2.02,2.04,2.04,2.24
13:30,ADAP,4.09,134181,3.98,3.92,3.87,4.15
13:30,ADUS,62.47,84269,62.04,62.33,61.35,62.73
13:30,AEY,1.365,12504,1.37,1.36,1.34,1.38
13:30,IOTS,5.88,32151,6.04,6.02,5.81,6.1
13:30,ADIL,3.16,113603,2.94,2.93,2.894,3.24
13:30,ADILW,0.36,2200,0.36,0.3501,0.3501,0.36
13:31,YI,6.4,18602,6.41,6.46,6.35,6.667
13:31,PIH,5.46,1004,5.37,5.27,5.27,5.46
13:31,PIHPP,23.254,500,23.26,23.11,23.25,23.361
13:31,TURN,1.879,13747,1.86,1.87,1.87,1.879
13:31,FLWS,18.185,137887,18.21,18.29,18.06,18.38
13:31,BCOW,9.73,1151,9.73,9.74,9.7,9.73
13:31,FCCY,17.85,2730,17.6,17.75,17.702,18.2
13:31,SRCE,44.75,11095,44.58,44.5,44.35,45.29
13:31,VNET,7.69,111148,7.91,7.93,7.68,8.01
13:31,TWOU,71.425,374976,68.13,68.23,68.05,72.06
13:31,QFIN,15.1,11058,15.565,15.04,14.99,15.432
13:31,TPNL,7.75,160025,7.93,7.94,7.63,7.965
13:31,JOBS,74.795,153255,73.68,73.58,73.33,74.9
13:31,EGHT,20.185,257551,20.14,20.17,19.95,20.42
13:31,AAON,45.16,69012,44.93,45,44.46,45.32
13:31,ABEO,7.32,106790,7.17,7.18,7.01,7.34
13:31,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
13:31,ABIL,1.72,61151,1.68,1.68,1.665,1.75
13:31,ABMD,284.405,547392,276.39,277.75,275,286.9
13:31,AXAS,1.255,501096,1.33,1.31,1.26,1.34
13:31,ACIU,4.99,84698,5.02,5.02,4.97,5.09
13:31,ACIA,57.93,1303164,55.35,56.59,56.03,59.55
13:31,ACTG,3.25,31185,3.2,3.2,3.21,3.26
13:31,ACHC,29.255,294041,29.2,29.16,28.95,29.42
13:31,ACAD,26.76,301556,26.24,26.27,26.27,26.84
13:31,ACAMU,10,3500,10,10,10,10
13:31,ACST,1.013,219224,1.02,1.01,1,1.05
13:31,AXDX,21.375,97056,20.69,20.75,20.566,21.615
13:31,XLRN,44.715,85320,44.02,44.11,43.95,45.179
13:31,ARAY,4.63,268276,4.67,4.69,4.57,4.76
13:31,ACRX,3.308,764463,3.24,3.25,3.2,3.35
13:31,ACER,23.71,13505,23.89,23.89,23.54,23.97
13:31,ACET,0.183,2430303,0.1629,0.1557,0.15,0.195
13:31,AKAO,0.472,894309,0.4713,0.48,0.4518,0.488
13:31,ACHV,3.357,205832,3.15,3.14,3.09,3.43
13:31,ACHN,2.955,313185,2.91,2.91,2.9,2.99
13:31,ACIW,32.455,284827,32.76,32.91,32.18,33.74
13:31,ACRS,6.3,165105,5.98,5.98,5.98,6.29
13:31,ACMR,15.05,29791,15.08,15.08,14.6,15.23
13:31,ACNB,35.975,9064,35.8,36.12,35.705,36.194
13:31,ACOR,13.08,204321,13.04,13.07,12.87,13.16
13:31,ATVI,45.21,4787962,45.52,45.34,44.87,45.71
13:31,ADMS,7.3,185285,7.2,7.21,7.17,7.34
13:31,ADMP,2.11,372943,2.02,2.04,2.04,2.24
13:31,ADAP,4.09,134181,3.98,3.92,3.87,4.15
13:31,ADUS,62.47,84269,62.04,62.33,61.35,62.73
13:31,AEY,1.365,12504,1.37,1.36,1.34,1.38
13:31,IOTS,5.88,32151,6.04,6.02,5.81,6.1
13:31,ADIL,3.16,113603,2.94,2.93,2.894,3.24
13:31,ADILW,0.36,2200,0.36,0.3501,0.3501,0.36
13:32,YI,6.4,18602,6.41,6.46,6.35,6.667
13:32,PIH,5.46,1004,5.37,5.27,5.27,5.46
13:32,PIHPP,23.254,500,23.26,23.11,23.25,23.361
13:32,TURN,1.879,13747,1.86,1.87,1.87,1.879
13:32,FLWS,18.185,137879,18.21,18.29,18.06,18.38
13:32,BCOW,9.73,1151,9.73,9.74,9.7,9.73
13:32,FCCY,17.85,2730,17.6,17.75,17.702,18.2
13:32,SRCE,44.82,11095,44.58,44.5,44.35,45.29
13:32,VNET,7.69,111148,7.91,7.93,7.68,8.01
13:32,TWOU,71.425,375338,68.13,68.23,68.05,72.06
13:32,QFIN,15.1,11058,15.565,15.04,14.99,15.432
13:32,TPNL,7.75,160025,7.93,7.94,7.63,7.965
13:32,JOBS,74.8,153255,73.68,73.58,73.33,74.9
13:32,EGHT,20.185,257864,20.14,20.17,19.95,20.42
13:32,AAON,45.16,69012,44.93,45,44.46,45.32
13:32,ABEO,7.32,106790,7.17,7.18,7.01,7.34
13:32,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
13:32,ABIL,1.72,61151,1.68,1.68,1.665,1.75
13:32,ABMD,284.405,547506,276.39,277.75,275,286.9
13:32,AXAS,1.255,501096,1.33,1.31,1.26,1.34
13:32,ACIU,4.99,84698,5.02,5.02,4.97,5.09
13:32,ACIA,57.93,1303164,55.35,56.59,56.03,59.55
13:32,ACTG,3.25,31185,3.2,3.2,3.21,3.26
13:32,ACHC,29.255,294041,29.2,29.16,28.95,29.42
13:32,ACAD,26.76,303254,26.24,26.27,26.27,26.84
13:32,ACAMU,10,3500,10,10,10,10
13:32,ACST,1.013,219224,1.02,1.01,1,1.05
13:32,AXDX,21.375,97056,20.69,20.75,20.566,21.615
13:32,XLRN,44.715,85320,44.02,44.11,43.95,45.179
13:32,ARAY,4.61,271571,4.67,4.69,4.57,4.76
13:32,ACRX,3.305,768698,3.24,3.25,3.2,3.35
13:32,ACER,23.71,13505,23.89,23.89,23.54,23.97
13:32,ACET,0.1824,2430303,0.1629,0.1557,0.15,0.195
13:32,AKAO,0.472,894309,0.4713,0.48,0.4518,0.488
13:32,ACHV,3.357,205832,3.15,3.14,3.09,3.43
13:32,ACHN,2.95,320555,2.91,2.91,2.9,2.99
13:32,ACIW,32.45,287900,32.76,32.91,32.18,33.74
13:32,ACRS,6.3,166889,5.98,5.98,5.98,6.29
13:32,ACMR,15.05,29791,15.08,15.08,14.6,15.23
13:32,ACNB,35.975,9064,35.8,36.12,35.705,36.194
13:32,ACOR,13.09,206859,13.04,13.07,12.87,13.16
13:32,ATVI,45.18,4813979,45.52,45.34,44.87,45.71
13:32,ADMS,7.3,185843,7.2,7.21,7.17,7.34
13:32,ADMP,2.11,372943,2.02,2.04,2.04,2.24
13:32,ADAP,4.09,134181,3.98,3.92,3.87,4.15
13:32,ADUS,62.47,84269,62.04,62.33,61.35,62.73
13:32,AEY,1.365,12504,1.37,1.36,1.34,1.38
13:32,IOTS,5.88,32151,6.04,6.02,5.81,6.1
13:32,ADIL,3.16,113603,2.94,2.93,2.894,3.24
13:32,ADILW,0.36,2200,0.36,0.3501,0.3501,0.36
13:33,YI,6.4,18602,6.41,6.46,6.35,6.667
13:33,PIH,5.46,1004,5.37,5.27,5.27,5.46
13:33,PIHPP,23.254,500,23.26,23.11,23.25,23.361
13:33,TURN,1.879,13747,1.86,1.87,1.87,1.879
13:33,FLWS,18.205,139442,18.21,18.29,18.06,18.38
13:33,BCOW,9.73,1151,9.73,9.74,9.7,9.73
13:33,FCCY,17.85,2730,17.6,17.75,17.702,18.2
13:33,SRCE,44.82,11249,44.58,44.5,44.35,45.29
13:33,VNET,7.69,111944,7.91,7.93,7.68,8.01
13:33,TWOU,71.51,376262,68.13,68.23,68.05,72.06
13:33,QFIN,15.1,11058,15.565,15.04,14.99,15.432
13:33,TPNL,7.75,160025,7.93,7.94,7.63,7.965
13:33,JOBS,74.8,153255,73.68,73.58,73.33,74.9
13:33,EGHT,20.185,258809,20.14,20.17,19.95,20.42
13:33,AAON,45.16,69012,44.93,45,44.46,45.32
13:33,ABEO,7.32,109280,7.17,7.18,7.01,7.34
13:33,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
13:33,ABIL,1.72,61151,1.68,1.68,1.665,1.75
